start,end,duration,type
2024-10-17 16:59:00-04:00,2024-10-17 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-18 11:59:00-04:00,2024-10-20 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-10-21 16:59:00-04:00,2024-10-21 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-22 16:59:00-04:00,2024-10-22 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-23 16:59:00-04:00,2024-10-23 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-24 16:59:00-04:00,2024-10-24 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-25 11:59:00-04:00,2024-10-27 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-10-28 16:59:00-04:00,2024-10-28 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-29 16:59:00-04:00,2024-10-29 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-30 16:59:00-04:00,2024-10-30 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-10-31 16:59:00-04:00,2024-10-31 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-11-01 12:59:00-04:00,2024-11-03 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-11-04 16:59:00-05:00,2024-11-04 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-05 16:59:00-05:00,2024-11-05 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-06 16:59:00-05:00,2024-11-06 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-07 16:59:00-05:00,2024-11-07 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-11-08 11:59:00-05:00,2024-11-10 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-11-11 16:59:00-05:00,2024-11-11 18:00:00-05:00,0 days 01:01:00,MISSING DATA
